,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,b187614f,Male,18-24,Sophomore,High School / GED,Nevada,BS Computer Science,5,1,L-1,Concatenation,2,2,22.481
1,b187614f,Male,18-24,Sophomore,High School / GED,Nevada,BS Computer Science,5,2,L-1,Interpolation,1,1,12.975
2,b187614f,Male,18-24,Sophomore,High School / GED,Nevada,BS Computer Science,5,3,L-2,Concatenation,1,4,17.968
3,b187614f,Male,18-24,Sophomore,High School / GED,Nevada,BS Computer Science,5,4,L-2,Interpolation,2,2,39.12
4,b187614f,Male,18-24,Sophomore,High School / GED,Nevada,BS Computer Science,5,5,L-2,Concatenation,3,3,33.024
5,b187614f,Male,18-24,Sophomore,High School / GED,Nevada,BS Computer Science,5,6,L-2,Interpolation,4,3,44.304
6,b187614f,Male,18-24,Sophomore,High School / GED,Nevada,BS Computer Science,5,7,L-4,Concatenation,4,4,63.024
7,b187614f,Male,18-24,Sophomore,High School / GED,Nevada,BS Computer Science,5,8,L-4,Interpolation,1,1,43.152
8,b187614f,Male,18-24,Sophomore,High School / GED,Nevada,BS Computer Science,5,9,L-3,Concatenation,3,1,26.208
9,b187614f,Male,18-24,Sophomore,High School / GED,Nevada,BS Computer Science,5,10,L-3,Interpolation,2,2,23.024
10,b187614f,Male,18-24,Sophomore,High School / GED,Nevada,BS Computer Science,5,11,L-4,Concatenation,3,1,64.096
11,b187614f,Male,18-24,Sophomore,High School / GED,Nevada,BS Computer Science,5,12,L-4,Interpolation,1,3,36.864
12,b187614f,Male,18-24,Sophomore,High School / GED,Nevada,BS Computer Science,5,13,L-2,Concatenation,4,4,24.625
13,b187614f,Male,18-24,Sophomore,High School / GED,Nevada,BS Computer Science,5,14,L-2,Interpolation,2,2,25.711
14,b187614f,Male,18-24,Sophomore,High School / GED,Nevada,BS Computer Science,5,15,L-3,Concatenation,1,1,45.632
15,b187614f,Male,18-24,Sophomore,High School / GED,Nevada,BS Computer Science,5,16,L-3,Interpolation,3,3,30.592
