,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,4ce3b435,Male,18-24,Sophomore,High School / GED,NV,Computer Science,2,1,L-1,Concatenation,2,1,18.476
1,4ce3b435,Male,18-24,Sophomore,High School / GED,NV,Computer Science,2,2,L-1,Interpolation,1,1,3.334
2,4ce3b435,Male,18-24,Sophomore,High School / GED,NV,Computer Science,2,3,L-2,Concatenation,1,2,0.168
3,4ce3b435,Male,18-24,Sophomore,High School / GED,NV,Computer Science,2,4,L-2,Interpolation,2,4,0.327
4,4ce3b435,Male,18-24,Sophomore,High School / GED,NV,Computer Science,2,5,L-2,Concatenation,3,1,0.25
5,4ce3b435,Male,18-24,Sophomore,High School / GED,NV,Computer Science,2,6,L-2,Interpolation,4,2,0.257
6,4ce3b435,Male,18-24,Sophomore,High School / GED,NV,Computer Science,2,7,L-4,Concatenation,4,1,0.244
7,4ce3b435,Male,18-24,Sophomore,High School / GED,NV,Computer Science,2,8,L-4,Interpolation,1,3,0.491
8,4ce3b435,Male,18-24,Sophomore,High School / GED,NV,Computer Science,2,9,L-3,Concatenation,3,1,0.161
9,4ce3b435,Male,18-24,Sophomore,High School / GED,NV,Computer Science,2,10,L-3,Interpolation,2,4,0.187
10,4ce3b435,Male,18-24,Sophomore,High School / GED,NV,Computer Science,2,11,L-4,Concatenation,3,3,0.277
11,4ce3b435,Male,18-24,Sophomore,High School / GED,NV,Computer Science,2,12,L-4,Interpolation,1,4,0.002
12,4ce3b435,Male,18-24,Sophomore,High School / GED,NV,Computer Science,2,13,L-2,Concatenation,4,4,0.23
13,4ce3b435,Male,18-24,Sophomore,High School / GED,NV,Computer Science,2,14,L-2,Interpolation,2,3,0.234
14,4ce3b435,Male,18-24,Sophomore,High School / GED,NV,Computer Science,2,15,L-3,Concatenation,1,2,0.323
15,4ce3b435,Male,18-24,Sophomore,High School / GED,NV,Computer Science,2,16,L-3,Interpolation,3,1,0.258
