,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,2a9a91b6,Male,18-24,Junior,Some college/university,Nevada,Computer Enginnering,6,1,L-1,Concatenation,2,2,28.565
1,2a9a91b6,Male,18-24,Junior,Some college/university,Nevada,Computer Enginnering,6,2,L-1,Interpolation,1,1,11.75
2,2a9a91b6,Male,18-24,Junior,Some college/university,Nevada,Computer Enginnering,6,3,L-2,Concatenation,1,4,21.032
3,2a9a91b6,Male,18-24,Junior,Some college/university,Nevada,Computer Enginnering,6,4,L-2,Interpolation,2,2,19.848
4,2a9a91b6,Male,18-24,Junior,Some college/university,Nevada,Computer Enginnering,6,5,L-2,Concatenation,3,3,22.728
5,2a9a91b6,Male,18-24,Junior,Some college/university,Nevada,Computer Enginnering,6,6,L-2,Interpolation,4,3,15.671
6,2a9a91b6,Male,18-24,Junior,Some college/university,Nevada,Computer Enginnering,6,7,L-4,Concatenation,4,4,51.055
7,2a9a91b6,Male,18-24,Junior,Some college/university,Nevada,Computer Enginnering,6,8,L-4,Interpolation,1,1,20.928
8,2a9a91b6,Male,18-24,Junior,Some college/university,Nevada,Computer Enginnering,6,9,L-3,Concatenation,3,3,20.544
9,2a9a91b6,Male,18-24,Junior,Some college/university,Nevada,Computer Enginnering,6,10,L-3,Interpolation,2,3,23.552
10,2a9a91b6,Male,18-24,Junior,Some college/university,Nevada,Computer Enginnering,6,11,L-4,Concatenation,3,3,49.303
11,2a9a91b6,Male,18-24,Junior,Some college/university,Nevada,Computer Enginnering,6,12,L-4,Interpolation,1,1,34.44
12,2a9a91b6,Male,18-24,Junior,Some college/university,Nevada,Computer Enginnering,6,13,L-2,Concatenation,4,4,15.32
13,2a9a91b6,Male,18-24,Junior,Some college/university,Nevada,Computer Enginnering,6,14,L-2,Interpolation,2,2,35.039
14,2a9a91b6,Male,18-24,Junior,Some college/university,Nevada,Computer Enginnering,6,15,L-3,Concatenation,1,1,29.968
15,2a9a91b6,Male,18-24,Junior,Some college/university,Nevada,Computer Enginnering,6,16,L-3,Interpolation,3,3,46.423
