,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,8f085069,Male,18-24,Sophomore,Some college/university,NV,Comp Sci,2,1,L-1,Concatenation,2,2,17.973
1,8f085069,Male,18-24,Sophomore,Some college/university,NV,Comp Sci,2,2,L-1,Interpolation,1,1,23.073
2,8f085069,Male,18-24,Sophomore,Some college/university,NV,Comp Sci,2,3,L-2,Concatenation,1,4,18.928
3,8f085069,Male,18-24,Sophomore,Some college/university,NV,Comp Sci,2,4,L-2,Interpolation,2,2,38.361
4,8f085069,Male,18-24,Sophomore,Some college/university,NV,Comp Sci,2,5,L-2,Concatenation,3,3,22.327
5,8f085069,Male,18-24,Sophomore,Some college/university,NV,Comp Sci,2,6,L-2,Interpolation,4,3,12.802
6,8f085069,Male,18-24,Sophomore,Some college/university,NV,Comp Sci,2,7,L-4,Concatenation,4,4,19.388
7,8f085069,Male,18-24,Sophomore,Some college/university,NV,Comp Sci,2,8,L-4,Interpolation,1,2,2.712
8,8f085069,Male,18-24,Sophomore,Some college/university,NV,Comp Sci,2,9,L-3,Concatenation,3,3,0.207
9,8f085069,Male,18-24,Sophomore,Some college/university,NV,Comp Sci,2,10,L-3,Interpolation,2,4,0.266
10,8f085069,Male,18-24,Sophomore,Some college/university,NV,Comp Sci,2,11,L-4,Concatenation,3,2,0.221
11,8f085069,Male,18-24,Sophomore,Some college/university,NV,Comp Sci,2,12,L-4,Interpolation,1,3,0.303
12,8f085069,Male,18-24,Sophomore,Some college/university,NV,Comp Sci,2,13,L-2,Concatenation,4,2,0.26
13,8f085069,Male,18-24,Sophomore,Some college/university,NV,Comp Sci,2,14,L-2,Interpolation,2,1,0.352
14,8f085069,Male,18-24,Sophomore,Some college/university,NV,Comp Sci,2,15,L-3,Concatenation,1,3,0.375
15,8f085069,Male,18-24,Sophomore,Some college/university,NV,Comp Sci,2,16,L-3,Interpolation,3,3,0.306
