,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,df0664a3,Male,25-35,Graduate,Bachelor Degree,NV,Computer Science,2,1,L-1,Concatenation,2,2,16.417
1,df0664a3,Male,25-35,Graduate,Bachelor Degree,NV,Computer Science,2,2,L-1,Interpolation,1,1,18.224
2,df0664a3,Male,25-35,Graduate,Bachelor Degree,NV,Computer Science,2,3,L-2,Concatenation,1,1,15.077
3,df0664a3,Male,25-35,Graduate,Bachelor Degree,NV,Computer Science,2,4,L-2,Interpolation,2,2,24.754
4,df0664a3,Male,25-35,Graduate,Bachelor Degree,NV,Computer Science,2,5,L-2,Concatenation,3,3,21.206
5,df0664a3,Male,25-35,Graduate,Bachelor Degree,NV,Computer Science,2,6,L-2,Interpolation,4,3,14.007
6,df0664a3,Male,25-35,Graduate,Bachelor Degree,NV,Computer Science,2,7,L-4,Concatenation,4,4,63.417
7,df0664a3,Male,25-35,Graduate,Bachelor Degree,NV,Computer Science,2,8,L-4,Interpolation,1,1,35.271
8,df0664a3,Male,25-35,Graduate,Bachelor Degree,NV,Computer Science,2,9,L-3,Concatenation,3,3,21.8
9,df0664a3,Male,25-35,Graduate,Bachelor Degree,NV,Computer Science,2,10,L-3,Interpolation,2,4,45.055
10,df0664a3,Male,25-35,Graduate,Bachelor Degree,NV,Computer Science,2,11,L-4,Concatenation,3,3,56.241
11,df0664a3,Male,25-35,Graduate,Bachelor Degree,NV,Computer Science,2,12,L-4,Interpolation,1,1,32.162
12,df0664a3,Male,25-35,Graduate,Bachelor Degree,NV,Computer Science,2,13,L-2,Concatenation,4,4,17.884
13,df0664a3,Male,25-35,Graduate,Bachelor Degree,NV,Computer Science,2,14,L-2,Interpolation,2,2,18.708
14,df0664a3,Male,25-35,Graduate,Bachelor Degree,NV,Computer Science,2,15,L-3,Concatenation,1,1,36.57
15,df0664a3,Male,25-35,Graduate,Bachelor Degree,NV,Computer Science,2,16,L-3,Interpolation,3,4,19.757
