,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,f995163a,Female,25-35,Sophomore,Associate Degree,NV,Computer Engineering,3,1,L-1,Concatenation,2,2,26.278
1,f995163a,Female,25-35,Sophomore,Associate Degree,NV,Computer Engineering,3,2,L-1,Interpolation,1,1,10.271
2,f995163a,Female,25-35,Sophomore,Associate Degree,NV,Computer Engineering,3,3,L-2,Concatenation,1,4,25.892
3,f995163a,Female,25-35,Sophomore,Associate Degree,NV,Computer Engineering,3,4,L-2,Interpolation,2,2,21.766
4,f995163a,Female,25-35,Sophomore,Associate Degree,NV,Computer Engineering,3,5,L-2,Concatenation,3,3,18.59
5,f995163a,Female,25-35,Sophomore,Associate Degree,NV,Computer Engineering,3,6,L-2,Interpolation,4,3,9.069
6,f995163a,Female,25-35,Sophomore,Associate Degree,NV,Computer Engineering,3,7,L-4,Concatenation,4,4,33.115
7,f995163a,Female,25-35,Sophomore,Associate Degree,NV,Computer Engineering,3,8,L-4,Interpolation,1,1,21.42
8,f995163a,Female,25-35,Sophomore,Associate Degree,NV,Computer Engineering,3,9,L-3,Concatenation,3,3,26.458
9,f995163a,Female,25-35,Sophomore,Associate Degree,NV,Computer Engineering,3,10,L-3,Interpolation,2,2,12.339
10,f995163a,Female,25-35,Sophomore,Associate Degree,NV,Computer Engineering,3,11,L-4,Concatenation,3,3,8.884
11,f995163a,Female,25-35,Sophomore,Associate Degree,NV,Computer Engineering,3,12,L-4,Interpolation,1,1,7.392
12,f995163a,Female,25-35,Sophomore,Associate Degree,NV,Computer Engineering,3,13,L-2,Concatenation,4,4,18.004
13,f995163a,Female,25-35,Sophomore,Associate Degree,NV,Computer Engineering,3,14,L-2,Interpolation,2,2,8.975
14,f995163a,Female,25-35,Sophomore,Associate Degree,NV,Computer Engineering,3,15,L-3,Concatenation,1,1,20.46
15,f995163a,Female,25-35,Sophomore,Associate Degree,NV,Computer Engineering,3,16,L-3,Interpolation,3,4,30.691
