,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,c766ed7f,Male,25-35,Junior,Some college/university,Nevada,Exploring Major,2,1,L-1,Concatenation,2,2,17.906
1,c766ed7f,Male,25-35,Junior,Some college/university,Nevada,Exploring Major,2,2,L-1,Interpolation,1,1,18.25
2,c766ed7f,Male,25-35,Junior,Some college/university,Nevada,Exploring Major,2,3,L-2,Concatenation,1,4,43.226
3,c766ed7f,Male,25-35,Junior,Some college/university,Nevada,Exploring Major,2,4,L-2,Interpolation,2,2,24.561
4,c766ed7f,Male,25-35,Junior,Some college/university,Nevada,Exploring Major,2,5,L-2,Concatenation,3,3,39.513
5,c766ed7f,Male,25-35,Junior,Some college/university,Nevada,Exploring Major,2,6,L-2,Interpolation,4,3,11.348
6,c766ed7f,Male,25-35,Junior,Some college/university,Nevada,Exploring Major,2,7,L-4,Concatenation,4,1,69.642
7,c766ed7f,Male,25-35,Junior,Some college/university,Nevada,Exploring Major,2,8,L-4,Interpolation,1,3,16.148
8,c766ed7f,Male,25-35,Junior,Some college/university,Nevada,Exploring Major,2,9,L-3,Concatenation,3,3,28.926
9,c766ed7f,Male,25-35,Junior,Some college/university,Nevada,Exploring Major,2,10,L-3,Interpolation,2,2,11.514
10,c766ed7f,Male,25-35,Junior,Some college/university,Nevada,Exploring Major,2,11,L-4,Concatenation,3,3,63.072
11,c766ed7f,Male,25-35,Junior,Some college/university,Nevada,Exploring Major,2,12,L-4,Interpolation,1,1,69.204
12,c766ed7f,Male,25-35,Junior,Some college/university,Nevada,Exploring Major,2,13,L-2,Concatenation,4,3,13.918
13,c766ed7f,Male,25-35,Junior,Some college/university,Nevada,Exploring Major,2,14,L-2,Interpolation,2,2,29.071
14,c766ed7f,Male,25-35,Junior,Some college/university,Nevada,Exploring Major,2,15,L-3,Concatenation,1,1,69.987
15,c766ed7f,Male,25-35,Junior,Some college/university,Nevada,Exploring Major,2,16,L-3,Interpolation,3,4,25.369
