,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,e2bea1e4,Male,18-24,Sophomore,High School / GED,NV,Computer Science,2,1,L-1,Concatenation,2,2,20.531
1,e2bea1e4,Male,18-24,Sophomore,High School / GED,NV,Computer Science,2,2,L-1,Interpolation,1,1,20.506
2,e2bea1e4,Male,18-24,Sophomore,High School / GED,NV,Computer Science,2,3,L-2,Concatenation,1,1,35.703
3,e2bea1e4,Male,18-24,Sophomore,High School / GED,NV,Computer Science,2,4,L-2,Interpolation,2,1,22.3
4,e2bea1e4,Male,18-24,Sophomore,High School / GED,NV,Computer Science,2,5,L-2,Concatenation,3,3,22.851
5,e2bea1e4,Male,18-24,Sophomore,High School / GED,NV,Computer Science,2,6,L-2,Interpolation,4,3,16.711
6,e2bea1e4,Male,18-24,Sophomore,High School / GED,NV,Computer Science,2,7,L-4,Concatenation,4,4,38.199
7,e2bea1e4,Male,18-24,Sophomore,High School / GED,NV,Computer Science,2,8,L-4,Interpolation,1,2,20.677
8,e2bea1e4,Male,18-24,Sophomore,High School / GED,NV,Computer Science,2,9,L-3,Concatenation,3,3,24.866
9,e2bea1e4,Male,18-24,Sophomore,High School / GED,NV,Computer Science,2,10,L-3,Interpolation,2,3,36.167
10,e2bea1e4,Male,18-24,Sophomore,High School / GED,NV,Computer Science,2,11,L-4,Concatenation,3,3,19.737
11,e2bea1e4,Male,18-24,Sophomore,High School / GED,NV,Computer Science,2,12,L-4,Interpolation,1,3,7.61
12,e2bea1e4,Male,18-24,Sophomore,High School / GED,NV,Computer Science,2,13,L-2,Concatenation,4,4,15.006
13,e2bea1e4,Male,18-24,Sophomore,High School / GED,NV,Computer Science,2,14,L-2,Interpolation,2,2,23.947
14,e2bea1e4,Male,18-24,Sophomore,High School / GED,NV,Computer Science,2,15,L-3,Concatenation,1,1,35.905
15,e2bea1e4,Male,18-24,Sophomore,High School / GED,NV,Computer Science,2,16,L-3,Interpolation,3,4,27.243
