,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,8ffbce4b,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,1,L-1,Concatenation,2,1,16.333
1,8ffbce4b,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,2,L-1,Interpolation,1,1,10.541
2,8ffbce4b,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,3,L-2,Concatenation,1,4,33.841
3,8ffbce4b,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,4,L-2,Interpolation,2,2,6.606
4,8ffbce4b,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,5,L-2,Concatenation,3,3,12.128
5,8ffbce4b,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,6,L-2,Interpolation,4,3,6.032
6,8ffbce4b,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,7,L-4,Concatenation,4,4,27.73
7,8ffbce4b,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,8,L-4,Interpolation,1,3,26.191
8,8ffbce4b,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,9,L-3,Concatenation,3,3,17.28
9,8ffbce4b,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,10,L-3,Interpolation,2,3,9.679
10,8ffbce4b,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,11,L-4,Concatenation,3,2,6.561
11,8ffbce4b,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,12,L-4,Interpolation,1,1,4.545
12,8ffbce4b,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,13,L-2,Concatenation,4,4,16.848
13,8ffbce4b,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,14,L-2,Interpolation,2,2,7.295
14,8ffbce4b,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,15,L-3,Concatenation,1,1,24.593
15,8ffbce4b,Male,18-24,Junior,Some college/university,Nevada,Computer Science,3,16,L-3,Interpolation,3,3,27.696
