,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,702714c8,Female,18-24,Senior,High School / GED,Nevada,Computer Engineering,3,1,L-1,Concatenation,2,2,45.095
1,702714c8,Female,18-24,Senior,High School / GED,Nevada,Computer Engineering,3,2,L-1,Interpolation,1,1,6.601
2,702714c8,Female,18-24,Senior,High School / GED,Nevada,Computer Engineering,3,3,L-2,Concatenation,1,3,24.836
3,702714c8,Female,18-24,Senior,High School / GED,Nevada,Computer Engineering,3,4,L-2,Interpolation,2,1,13.222
4,702714c8,Female,18-24,Senior,High School / GED,Nevada,Computer Engineering,3,5,L-2,Concatenation,3,3,37.969
5,702714c8,Female,18-24,Senior,High School / GED,Nevada,Computer Engineering,3,6,L-2,Interpolation,4,3,21.259
6,702714c8,Female,18-24,Senior,High School / GED,Nevada,Computer Engineering,3,7,L-4,Concatenation,4,2,15.482
7,702714c8,Female,18-24,Senior,High School / GED,Nevada,Computer Engineering,3,8,L-4,Interpolation,1,1,9.059
8,702714c8,Female,18-24,Senior,High School / GED,Nevada,Computer Engineering,3,9,L-3,Concatenation,3,3,30.668
9,702714c8,Female,18-24,Senior,High School / GED,Nevada,Computer Engineering,3,10,L-3,Interpolation,2,2,9.397
10,702714c8,Female,18-24,Senior,High School / GED,Nevada,Computer Engineering,3,11,L-4,Concatenation,3,1,21.243
11,702714c8,Female,18-24,Senior,High School / GED,Nevada,Computer Engineering,3,12,L-4,Interpolation,1,3,4.372
12,702714c8,Female,18-24,Senior,High School / GED,Nevada,Computer Engineering,3,13,L-2,Concatenation,4,4,15.412
13,702714c8,Female,18-24,Senior,High School / GED,Nevada,Computer Engineering,3,14,L-2,Interpolation,2,2,24.523
14,702714c8,Female,18-24,Senior,High School / GED,Nevada,Computer Engineering,3,15,L-3,Concatenation,1,2,24.188
15,702714c8,Female,18-24,Senior,High School / GED,Nevada,Computer Engineering,3,16,L-3,Interpolation,3,3,25.191
