,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,7169cddd,Male,36-44,Senior,Some college/university,Nevada,Computer Science,0,1,L-1,Concatenation,2,2,18.539
1,7169cddd,Male,36-44,Senior,Some college/university,Nevada,Computer Science,0,2,L-1,Interpolation,1,1,44.222
2,7169cddd,Male,36-44,Senior,Some college/university,Nevada,Computer Science,0,3,L-2,Concatenation,1,1,1.124
3,7169cddd,Male,36-44,Senior,Some college/university,Nevada,Computer Science,0,4,L-2,Interpolation,2,2,35.48
4,7169cddd,Male,36-44,Senior,Some college/university,Nevada,Computer Science,0,5,L-2,Concatenation,3,3,35.991
5,7169cddd,Male,36-44,Senior,Some college/university,Nevada,Computer Science,0,6,L-2,Interpolation,4,3,15.5
6,7169cddd,Male,36-44,Senior,Some college/university,Nevada,Computer Science,0,7,L-4,Concatenation,4,4,59.945
7,7169cddd,Male,36-44,Senior,Some college/university,Nevada,Computer Science,0,8,L-4,Interpolation,1,2,66.183
8,7169cddd,Male,36-44,Senior,Some college/university,Nevada,Computer Science,0,9,L-3,Concatenation,3,3,31.337
9,7169cddd,Male,36-44,Senior,Some college/university,Nevada,Computer Science,0,10,L-3,Interpolation,2,2,25.14
10,7169cddd,Male,36-44,Senior,Some college/university,Nevada,Computer Science,0,11,L-4,Concatenation,3,2,66.081
11,7169cddd,Male,36-44,Senior,Some college/university,Nevada,Computer Science,0,12,L-4,Interpolation,1,3,75.674
12,7169cddd,Male,36-44,Senior,Some college/university,Nevada,Computer Science,0,13,L-2,Concatenation,4,3,10.732
13,7169cddd,Male,36-44,Senior,Some college/university,Nevada,Computer Science,0,14,L-2,Interpolation,2,2,9.839
14,7169cddd,Male,36-44,Senior,Some college/university,Nevada,Computer Science,0,15,L-3,Concatenation,1,1,36.779
15,7169cddd,Male,36-44,Senior,Some college/university,Nevada,Computer Science,0,16,L-3,Interpolation,3,3,55.128
