,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,3a113e67,Male,18-24,Junior,High School / GED,NV,Computer Engineering,4,1,L-1,Concatenation,2,2,20.03
1,3a113e67,Male,18-24,Junior,High School / GED,NV,Computer Engineering,4,2,L-1,Interpolation,1,1,11.0
2,3a113e67,Male,18-24,Junior,High School / GED,NV,Computer Engineering,4,3,L-2,Concatenation,1,4,25.014
3,3a113e67,Male,18-24,Junior,High School / GED,NV,Computer Engineering,4,4,L-2,Interpolation,2,2,24.687
4,3a113e67,Male,18-24,Junior,High School / GED,NV,Computer Engineering,4,5,L-2,Concatenation,3,3,30.945
5,3a113e67,Male,18-24,Junior,High School / GED,NV,Computer Engineering,4,6,L-2,Interpolation,4,3,9.867
6,3a113e67,Male,18-24,Junior,High School / GED,NV,Computer Engineering,4,7,L-4,Concatenation,4,4,35.184
7,3a113e67,Male,18-24,Junior,High School / GED,NV,Computer Engineering,4,8,L-4,Interpolation,1,2,27.675
8,3a113e67,Male,18-24,Junior,High School / GED,NV,Computer Engineering,4,9,L-3,Concatenation,3,3,19.81
9,3a113e67,Male,18-24,Junior,High School / GED,NV,Computer Engineering,4,10,L-3,Interpolation,2,2,23.067
10,3a113e67,Male,18-24,Junior,High School / GED,NV,Computer Engineering,4,11,L-4,Concatenation,3,3,27.802
11,3a113e67,Male,18-24,Junior,High School / GED,NV,Computer Engineering,4,12,L-4,Interpolation,1,1,10.589
12,3a113e67,Male,18-24,Junior,High School / GED,NV,Computer Engineering,4,13,L-2,Concatenation,4,4,17.77
13,3a113e67,Male,18-24,Junior,High School / GED,NV,Computer Engineering,4,14,L-2,Interpolation,2,2,11.018
14,3a113e67,Male,18-24,Junior,High School / GED,NV,Computer Engineering,4,15,L-3,Concatenation,1,1,15.233
15,3a113e67,Male,18-24,Junior,High School / GED,NV,Computer Engineering,4,16,L-3,Interpolation,3,3,15.58
