,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,b2f8d301,Female,25-35,Junior,Associate Degree,Nevada,Computer Science,3,1,L-1,Concatenation,2,2,17.068
1,b2f8d301,Female,25-35,Junior,Associate Degree,Nevada,Computer Science,3,2,L-1,Interpolation,1,1,11.939
2,b2f8d301,Female,25-35,Junior,Associate Degree,Nevada,Computer Science,3,3,L-2,Concatenation,1,4,25.994
3,b2f8d301,Female,25-35,Junior,Associate Degree,Nevada,Computer Science,3,4,L-2,Interpolation,2,2,20.035
4,b2f8d301,Female,25-35,Junior,Associate Degree,Nevada,Computer Science,3,5,L-2,Concatenation,3,4,26.276
5,b2f8d301,Female,25-35,Junior,Associate Degree,Nevada,Computer Science,3,6,L-2,Interpolation,4,3,11.675
6,b2f8d301,Female,25-35,Junior,Associate Degree,Nevada,Computer Science,3,7,L-4,Concatenation,4,4,40.465
7,b2f8d301,Female,25-35,Junior,Associate Degree,Nevada,Computer Science,3,8,L-4,Interpolation,1,2,26.302
8,b2f8d301,Female,25-35,Junior,Associate Degree,Nevada,Computer Science,3,9,L-3,Concatenation,3,3,36.241
9,b2f8d301,Female,25-35,Junior,Associate Degree,Nevada,Computer Science,3,10,L-3,Interpolation,2,4,21.914
10,b2f8d301,Female,25-35,Junior,Associate Degree,Nevada,Computer Science,3,11,L-4,Concatenation,3,3,17.061
11,b2f8d301,Female,25-35,Junior,Associate Degree,Nevada,Computer Science,3,12,L-4,Interpolation,1,1,9.425
12,b2f8d301,Female,25-35,Junior,Associate Degree,Nevada,Computer Science,3,13,L-2,Concatenation,4,4,18.962
13,b2f8d301,Female,25-35,Junior,Associate Degree,Nevada,Computer Science,3,14,L-2,Interpolation,2,2,27.045
14,b2f8d301,Female,25-35,Junior,Associate Degree,Nevada,Computer Science,3,15,L-3,Concatenation,1,1,40.316
15,b2f8d301,Female,25-35,Junior,Associate Degree,Nevada,Computer Science,3,16,L-3,Interpolation,3,4,16.008
