,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,49b858c0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,4,1,L-1,Concatenation,2,2,27.678
1,49b858c0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,4,2,L-1,Interpolation,1,1,10.369
2,49b858c0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,4,3,L-2,Concatenation,1,4,22.38
3,49b858c0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,4,4,L-2,Interpolation,2,2,12.872
4,49b858c0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,4,5,L-2,Concatenation,3,3,16.392
5,49b858c0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,4,6,L-2,Interpolation,4,3,12.159
6,49b858c0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,4,7,L-4,Concatenation,4,4,55.914
7,49b858c0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,4,8,L-4,Interpolation,1,1,40.054
8,49b858c0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,4,9,L-3,Concatenation,3,3,30.81
9,49b858c0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,4,10,L-3,Interpolation,2,2,29.643
10,49b858c0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,4,11,L-4,Concatenation,3,3,98.88
11,49b858c0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,4,12,L-4,Interpolation,1,3,1.658
12,49b858c0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,4,13,L-2,Concatenation,4,4,9.78
13,49b858c0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,4,14,L-2,Interpolation,2,2,35.735
14,49b858c0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,4,15,L-3,Concatenation,1,1,42.181
15,49b858c0,Male,18-24,Sophomore,Some college/university,Nevada,Computer Science,4,16,L-3,Interpolation,3,4,14.51
