,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,0a41886d,Male,25-35,Junior,High School / GED,Nevada,Computer Science,15,1,L-1,Concatenation,2,2,17.783
1,0a41886d,Male,25-35,Junior,High School / GED,Nevada,Computer Science,15,2,L-1,Interpolation,1,1,16.137
2,0a41886d,Male,25-35,Junior,High School / GED,Nevada,Computer Science,15,3,L-2,Concatenation,1,4,26.015
3,0a41886d,Male,25-35,Junior,High School / GED,Nevada,Computer Science,15,4,L-2,Interpolation,2,2,15.508
4,0a41886d,Male,25-35,Junior,High School / GED,Nevada,Computer Science,15,5,L-2,Concatenation,3,3,20.865
5,0a41886d,Male,25-35,Junior,High School / GED,Nevada,Computer Science,15,6,L-2,Interpolation,4,3,14.3
6,0a41886d,Male,25-35,Junior,High School / GED,Nevada,Computer Science,15,7,L-4,Concatenation,4,4,18.951
7,0a41886d,Male,25-35,Junior,High School / GED,Nevada,Computer Science,15,8,L-4,Interpolation,1,4,10.404
8,0a41886d,Male,25-35,Junior,High School / GED,Nevada,Computer Science,15,9,L-3,Concatenation,3,2,0.324
9,0a41886d,Male,25-35,Junior,High School / GED,Nevada,Computer Science,15,10,L-3,Interpolation,2,3,0.322
10,0a41886d,Male,25-35,Junior,High School / GED,Nevada,Computer Science,15,11,L-4,Concatenation,3,1,0.302
11,0a41886d,Male,25-35,Junior,High School / GED,Nevada,Computer Science,15,12,L-4,Interpolation,1,4,0.234
12,0a41886d,Male,25-35,Junior,High School / GED,Nevada,Computer Science,15,13,L-2,Concatenation,4,3,0.214
13,0a41886d,Male,25-35,Junior,High School / GED,Nevada,Computer Science,15,14,L-2,Interpolation,2,3,0.232
14,0a41886d,Male,25-35,Junior,High School / GED,Nevada,Computer Science,15,15,L-3,Concatenation,1,2,0.128
15,0a41886d,Male,25-35,Junior,High School / GED,Nevada,Computer Science,15,16,L-3,Interpolation,3,1,0.19
