,UID,Gender,Age,YearInCollege,Education,State,Major,JobExperience,TaskID,Complexity,Category,CorrectAnswer,UserAnswer,Duration
0,8767d866,Male,18-24,Junior,High School / GED,Nevada,Computer Science,3,1,L-1,Concatenation,2,2,11.091
1,8767d866,Male,18-24,Junior,High School / GED,Nevada,Computer Science,3,2,L-1,Interpolation,1,1,8.76
2,8767d866,Male,18-24,Junior,High School / GED,Nevada,Computer Science,3,3,L-2,Concatenation,1,1,34.59
3,8767d866,Male,18-24,Junior,High School / GED,Nevada,Computer Science,3,4,L-2,Interpolation,2,2,1.278
4,8767d866,Male,18-24,Junior,High School / GED,Nevada,Computer Science,3,5,L-2,Concatenation,3,2,0.194
5,8767d866,Male,18-24,Junior,High School / GED,Nevada,Computer Science,3,6,L-2,Interpolation,4,3,0.001
6,8767d866,Male,18-24,Junior,High School / GED,Nevada,Computer Science,3,7,L-4,Concatenation,4,3,0.147
7,8767d866,Male,18-24,Junior,High School / GED,Nevada,Computer Science,3,8,L-4,Interpolation,1,2,0.194
8,8767d866,Male,18-24,Junior,High School / GED,Nevada,Computer Science,3,9,L-3,Concatenation,3,2,0.149
9,8767d866,Male,18-24,Junior,High School / GED,Nevada,Computer Science,3,10,L-3,Interpolation,2,3,0.127
10,8767d866,Male,18-24,Junior,High School / GED,Nevada,Computer Science,3,11,L-4,Concatenation,3,2,0.301
11,8767d866,Male,18-24,Junior,High School / GED,Nevada,Computer Science,3,12,L-4,Interpolation,1,3,0.161
12,8767d866,Male,18-24,Junior,High School / GED,Nevada,Computer Science,3,13,L-2,Concatenation,4,3,0.17
13,8767d866,Male,18-24,Junior,High School / GED,Nevada,Computer Science,3,14,L-2,Interpolation,2,2,0.172
14,8767d866,Male,18-24,Junior,High School / GED,Nevada,Computer Science,3,15,L-3,Concatenation,1,2,0.148
15,8767d866,Male,18-24,Junior,High School / GED,Nevada,Computer Science,3,16,L-3,Interpolation,3,3,0.135
