Theme,Theme definition,Sub-theme,Definition,When to use,When not to use,Example quote,R-ID,N (respondents)
Experience—Interpolation,Mentions prior experience with interpolation shaping understanding.,Prior interp familiarity,"Has prior experience with interpolation (e.g., f-strings, template literals).",Mentions f-strings/template literals/format strings experience.,If interpolation is only mentioned generically without experience.,I had almost no experience with string interpolation so I had to do a quick google search to fully understand the process before starting the survey.,dabbc80c,0
Experience—Concatenation,Mentions prior experience with concatenation shaping understanding.,Prior concat familiarity,Has stronger background with '+' concatenation or similar APIs.,Mentions '+' or concat APIs experience.,If '+' is mentioned only in the example text.,I had almost no experience with string interpolation so I had to do a quick google search to fully understand the process before starting the survey.,dabbc80c,6
Familiarity Benefit,Prior familiarity made examples easier to parse and understand.,Familiarity helped,States familiarity made examples easier/faster or clearer.,Uses easier/faster/clearer/comfortable/intuitive language.,If benefit is not tied to prior experience.,I had almost no experience with string interpolation so I had to do a quick google search to fully understand the process before starting the survey.,dabbc80c,76
Familiarity Hindrance,Lack of familiarity made examples harder to parse or slower to grasp.,Unfamiliar hindered,States unfamiliarity caused difficulty or slower understanding.,Uses hard/confusing/unfamiliar/took longer language.,If difficulty is unrelated to familiarity.,I had almost no experience with string interpolation so I had to do a quick google search to fully understand the process before starting the survey.,dabbc80c,21
Neutral/No Effect,Reports no meaningful impact from prior experience.,No effect,States no noticeable impact of prior experience.,Says no difference/neutral/same.,If a clear impact (helped/hindered) is described.,I had almost no experience with string interpolation so I had to do a quick google search to fully understand the process before starting the survey.,dabbc80c,2
Adaptation,Describes the learning curve or speed of adapting to the unfamiliar style.,Quick adaptation,Reports adapting quickly after brief exposure.,Mentions got used to/learned quickly/after a few examples.,If no adaptation timeline is mentioned.,I had almost no experience with string interpolation so I had to do a quick google search to fully understand the process before starting the survey.,dabbc80c,6
Adaptation,Describes the learning curve or speed of adapting to the unfamiliar style.,Learning curve steep,Describes a non-trivial learning curve.,Explicitly mentions learning curve or steepness.,If difficulty is momentary without curve mention.,I had almost no experience with string interpolation so I had to do a quick google search to fully understand the process before starting the survey.,dabbc80c,0
Transfer & Portability,References experience from other languages or similar syntaxes.,Cross-language transfer,Cites other languages as the source of familiarity or transfer.,Names another language or library as source of familiarity.,If other languages are not referenced.,I had almost no experience with string interpolation so I had to do a quick google search to fully understand the process before starting the survey.,dabbc80c,17
Transfer & Portability,References experience from other languages or similar syntaxes.,Syntax similarity,Points to similar syntax elsewhere aiding understanding.,Says similar/same syntax as elsewhere.,If similarity is not claimed.,I had almost no experience with string interpolation so I had to do a quick google search to fully understand the process before starting the survey.,dabbc80c,2
Familiarity Benefit,Prior familiarity made examples easier to parse and understand.,Habit/muscle memory,Mentions habit/automaticity aiding speed/clarity.,Says habit/used to/muscle memory.,If habit/automaticity is not referenced.,I had almost no experience with string interpolation so I had to do a quick google search to fully understand the process before starting the survey.,dabbc80c,14
Context/Moderators,"Specifies conditions moderating familiarity effects (complexity, team, domain).",Team conventions,Says team/style guide shaped familiarity or expectations.,References team/style guide/project conventions.,If team/style constraints are not mentioned.,I had almost no experience with string interpolation so I had to do a quick google search to fully understand the process before starting the survey.,dabbc80c,0
Tooling & Training,Credits IDE/docs/tutorials for easing understanding.,Tooling exposure,Mentions IDE/linter/highlighting helped learning.,References IDE/editor/linter/formatting assistance.,If no IDE/training aid is cited.,I had almost no experience with string interpolation so I had to do a quick google search to fully understand the process before starting the survey.,dabbc80c,1
Tooling & Training,Credits IDE/docs/tutorials for easing understanding.,Docs/examples,Credits documentation or examples.,References docs/tutorial/examples/guide.,If no docs/examples are cited.,I had almost no experience with string interpolation so I had to do a quick google search to fully understand the process before starting the survey.,dabbc80c,25
Comprehension Speed,Cites speed/effort outcomes tied to familiarity.,Reduced cog load,Claims less mental effort due to familiarity.,Mentions less mental effort or parsing burden.,If effort reduction is not linked to familiarity.,I had almost no experience with string interpolation so I had to do a quick google search to fully understand the process before starting the survey.,dabbc80c,1
Comprehension Speed,Cites speed/effort outcomes tied to familiarity.,Faster understanding,Claims faster grasp due to familiarity.,Mentions faster/quick/at-a-glance.,If speed is not attributed to familiarity.,I had almost no experience with string interpolation so I had to do a quick google search to fully understand the process before starting the survey.,dabbc80c,5
Errors/Bugs,Connects familiarity to error patterns or avoidance.,Error: operators,Operator/quote/precedence issues driven by inexperience.,Mentions +/quotes/precedence mistakes.,If operator/quote issues are not tied to unfamiliarity.,I had almost no experience with string interpolation so I had to do a quick google search to fully understand the process before starting the survey.,dabbc80c,3
Errors/Bugs,Connects familiarity to error patterns or avoidance.,Error: escape,Escaping/backslash issues due to unfamiliar syntax.,Mentions escaping/backslashes/quotes.,If escaping is not tied to unfamiliarity.,I had almost no experience with string interpolation so I had to do a quick google search to fully understand the process before starting the survey.,dabbc80c,8
Errors/Bugs,Connects familiarity to error patterns or avoidance.,Error: placeholders,Placeholder name/index mistakes due to unfamiliarity.,Mentions placeholder/name/index mismatches.,If placeholder errors are not tied to unfamiliarity.,I had almost no experience with string interpolation so I had to do a quick google search to fully understand the process before starting the survey.,dabbc80c,7
Context/Moderators,"Specifies conditions moderating familiarity effects (complexity, team, domain).",Context dependent,Says the impact depends on complexity or scenario.,Uses 'depends' or names scenarios.,If a consistent effect is claimed.,I had almost no experience with string interpolation so I had to do a quick google search to fully understand the process before starting the survey.,dabbc80c,3
